id,Predictions
335,0
1719,0
624,0
317,0
1576,1
1064,0
12,0
1258,0
1374,1
1713,0
464,0
492,0
1715,0
379,0
1149,1
863,0
266,0
364,0
1630,0
1706,0
1563,0
1728,0
732,0
1747,0
797,0
664,0
35,0
218,0
501,0
598,0
1282,1
1565,0
1752,0
1079,0
808,0
56,0
1341,1
199,0
435,0
433,0
1067,0
466,0
1396,1
938,0
718,0
818,0
1400,1
337,0
1265,1
1438,0
1743,0
1017,1
308,1
1640,0
1455,0
1584,0
752,0
1657,0
1497,0
609,0
1437,0
1162,1
1275,0
408,0
1598,0
809,0
1515,1
511,0
666,0
976,0
765,0
694,0
1073,0
26,0
508,0
1336,0
567,0
1248,0
1331,1
1287,1
741,0
43,0
1279,0
1621,0
522,0
140,0
1330,1
1285,1
102,0
1345,0
1127,0
1757,0
1305,0
801,0
881,0
1003,1
139,0
650,0
47,0
519,0
1200,0
867,0
787,0
1328,0
525,0
996,1
54,1
557,0
251,0
237,0
1682,0
1617,0
545,0
836,0
1126,0
366,0
660,0
962,0
1635,0
945,0
673,0
1557,0
106,0
920,0
691,0
1280,1
841,0
1704,0
83,0
1163,0
1201,0
221,0
176,0
473,0
1043,1
918,0
1226,1
603,0
1361,0
1219,0
1429,0
431,0
1217,0
1193,1
1431,0
858,0
171,0
1421,1
728,0
848,0
736,0
1726,0
1430,0
518,0
614,0
1567,0
46,0
875,0
1710,0
645,0
825,0
982,0
1252,0
576,0
921,0
689,0
1097,0
192,0
1106,1
1076,1
2,0
1323,1
16,0
707,0
1072,1
142,0
1505,0
1602,0
1683,0
1290,0
278,0
606,0
164,0
1581,0
745,0
682,0
1368,0
1388,1
498,0
499,0
158,0
1536,0
969,0
1159,0
196,0
194,0
136,0
21,0
1586,0
201,0
1443,1
1143,0
1712,1
704,0
1340,1
90,0
1533,0
495,0
1646,1
843,0
190,0
1261,1
1532,0
396,0
1325,1
1699,0
1260,1
1641,0
384,0
721,0
507,0
889,0
1454,0
1645,0
451,0
141,0
82,0
1627,0
1639,0
37,0
1528,0
995,0
1,0
1655,0
856,0
936,0
1002,0
571,0
403,0
563,0
275,0
1117,0
1033,1
658,0
722,0
424,0
1580,0
333,0
1761,0
1554,0
38,0
877,0
232,0
1130,0
18,0
675,0
258,0
1589,0
1100,0
393,0
322,0
608,0
421,0
1066,1
1773,0
959,0
1651,0
377,0
1139,0
688,0
1391,1
1538,0
1230,0
784,0
224,0
69,0
1462,0
1158,1
1446,1
1373,0
1349,1
249,0
1019,0
1024,0
1770,0
1262,0
564,0
31,0
1239,0
1659,0
919,0
1503,0
1502,0
240,0
1647,1
1671,0
236,0
1222,1
1074,1
1615,0
1739,0
588,0
786,1
188,0
348,0
1012,0
992,0
1461,0
222,0
1669,0
356,0
1643,0
243,0
210,0
1329,0
1603,0
207,0
1154,0
822,0
1475,0
182,0
412,0
1559,0
162,0
821,1
293,0
1000,0
820,0
489,0
687,0
874,0
1702,0
824,0
1053,1
1767,0
1099,1
1326,1
1556,0
950,0
134,0
1091,0
400,0
1537,1
1754,0
592,0
872,0
256,0
441,1
1775,0
1594,0
1274,0
434,0
1227,0
879,0
602,0
788,0
